No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,1,2,3,4,5,6,7,8,Sum
79, 0.30 ,F,Solanke,TOT, 7.5 , 67.14 , 0.054 , 3.60 ,103%, 2.94 , 2.67 , 4.39 , 4.01 , 3.63 , 4.45 , 4.15 , 4.07 , 30.30 
80, 0.10 ,F,Scarlett,TOT, 4.5 , 1.00 , 0.048 , 0.05 ,103%, 0.06 , 0.01 , -   , -   , -   , -   , -   , -   , 0.07 
81, (1.00),F,0,TOT, 100.0 , -   , -   , -   ,103%, -   , -   , -   , -   , -   , -   , -   , -   , -   
82, 0.22 ,F,Richarlison,TOT, 6.5 , 45.86 , 0.058 , 2.65 ,103%, 3.66 , 1.94 , 2.66 , 2.41 , 2.16 , 2.63 , 2.43 , 2.36 , 20.26 
83, (1.00),F,0,WBA, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   , -   
84, (1.00),F,0,WBA, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   , -   
85, (1.00),F,0,WBA, 100.0 , -   , -   , -   ,100%, -   , -   , -   , -   , -   , -   , -   , -   , -   
86, 0.38 ,F,Bowen,WHM, 8.0 , 88.35 , 0.050 , 4.41 ,101%, 4.87 , 4.37 , 3.91 , 4.58 , 4.61 , 3.86 , 2.85 , 4.77 , 33.81 
87, 0.29 ,F,Füllkrug,WHM, 6.0 , 63.46 , 0.048 , 3.07 ,101%, 3.42 , 3.02 , 2.69 , 3.14 , 3.15 , 2.62 , 1.93 , 3.22 , 23.20 
88, 0.13 ,F,Wilson (Callum),WHM, 6.0 , 29.00 , 0.050 , 1.46 ,101%, 1.60 , 1.43 , 1.25 , 1.44 , 1.42 , 1.16 , 0.84 , 1.37 , 10.51 
89, (1.00),F,0,WHM, 100.0 , -   , -   , -   ,101%, -   , -   , -   , -   , -   , -   , -   , -   , -   
90, 0.40 ,F,Strand Larsen,WOL, 6.5 , 80.10 , 0.051 , 4.06 ,99%, 3.76 , 3.77 , 4.24 , 3.49 , 4.80 , 3.53 , 4.05 , 4.06 , 31.71 
91, (1.00),F,0,WOL, 100.0 , -   , -   , -   ,99%, -   , -   , -   , -   , -   , -   , -   , -   , -   
92, 0.09 ,F,Fabio Silva,WOL, 5.0 , 4.00 , 0.037 , 0.15 ,99%, 0.13 , 0.11 , 0.09 , 0.05 , 0.04 , -   , -   , -   , 0.42 
93, 0.09 ,F,Kalajdzic,WOL, 5.0 , 4.00 , 0.056 , 0.23 ,99%, 0.20 , 0.17 , 0.15 , 0.08 , 0.06 , -   , -   , -   , 0.66 
,,,,,,,,,,,,,,,,,,
1, 0.33 ,D,Gabriel,ARS, 6.0 ,,,,, 3.62 , 2.39 , 2.66 , 4.39 , 3.16 , 3.30 , 4.41 , 3.76 , 27.67 
2, 0.38 ,D,Saliba,ARS, 6.0 ,,,,, 3.53 , 4.43 , 2.53 , 4.17 , 3.02 , 3.20 , 4.19 , 3.64 , 28.72 
3, 0.43 ,D,Virgil,LIV, 6.0 ,,,,, 4.32 , 3.45 , 3.46 , 4.45 , 4.24 , 3.67 , 3.06 , 3.77 , 30.42 
4, 0.30 ,D,Gvardiol,MCI, 6.0 ,,,,, 0.53 , 3.32 , 3.30 , 3.81 , 2.73 , 4.76 , 3.60 , 4.19 , 26.23 
5, 0.49 ,D,Pedro Porro,TOT, 5.5 ,,,,, 5.73 , 2.32 , 4.27 , 3.74 , 3.23 , 4.61 , 3.83 , 3.73 , 31.47 
6, 0.44 ,D,Tarkowski,EVE, 5.5 ,,,,, 3.95 , 3.88 , 4.01 , 3.62 , 2.56 , 4.18 , 4.01 , 2.52 , 28.73 
7, 0.44 ,D,Lacroix,CPL, 5.0 ,,,,, 2.91 , 4.09 , 3.03 , 4.50 , 3.48 , 2.81 , 3.65 , 3.68 , 28.16 
8, 0.48 ,D,Murillo,NOT, 5.5 ,,,,, 4.29 , 3.71 , 4.31 , 2.93 , 4.35 , 4.67 , 3.15 , 3.31 , 30.72 
9, 0.41 ,D,Munoz,CPL, 5.5 ,,,,, 2.75 , 4.30 , 3.01 , 5.15 , 3.57 , 2.75 , 3.59 , 3.92 , 29.05 
10, 0.43 ,D,Milenkovic,NOT, 5.5 ,,,,, 4.03 , 3.41 , 4.00 , 2.62 , 4.01 , 4.47 , 2.91 , 3.10 , 28.55 
11, 0.26 ,D,Branthwaite,EVE, 5.5 ,,,,, 1.55 , 2.35 , 3.11 , 3.37 , 2.31 , 3.85 , 3.67 , 2.26 , 22.46 
12, 0.34 ,D,James,CHE, 5.5 ,,,,, 3.70 , 3.21 , 3.56 , 2.87 , 2.50 , 3.15 , 2.34 , 2.80 , 24.13 
13, 0.39 ,D,Frimpong,LIV, 6.0 ,,,,, 4.40 , 3.07 , 3.09 , 4.22 , 4.01 , 3.32 , 2.66 , 3.51 , 28.27 
14, 0.34 ,D,Schär,NEW, 5.5 ,,,,, 3.11 , 2.72 , 3.54 , 3.89 , 2.89 , 2.68 , 3.62 , 2.72 , 25.18 
15, 0.41 ,D,Collins,BRE, 5.0 ,,,,, 3.53 , 3.33 , 3.89 , 2.95 , 3.19 , 3.19 , 2.54 , 3.19 , 25.80 
16, 0.43 ,D,Romero,TOT, 5.0 ,,,,, 4.65 , 2.13 , 3.57 , 3.24 , 2.86 , 3.99 , 3.32 , 3.17 , 26.93 
17, 0.41 ,D,Senesi,BOU, 4.5 ,,,,, 2.21 , 4.18 , 2.86 , 3.33 , 3.20 , 3.31 , 3.66 , 3.01 , 25.76 
18, 0.43 ,D,Wan-Bissaka,WHM, 4.5 ,,,,, 3.95 , 2.82 , 3.09 , 3.12 , 3.39 , 3.14 , 2.10 , 3.46 , 25.05 
19, 0.38 ,D,Cucurella,CHE, 6.0 ,,,,, 4.04 , 3.51 , 3.99 , 3.34 , 2.92 , 3.58 , 2.56 , 3.30 , 27.25 
20, 0.34 ,D,Aït-Nouri,MCI, 6.0 ,,,,, 3.89 , 3.53 , 2.87 , 3.38 , 2.28 , 4.20 , 3.10 , 3.72 , 26.98 
21, 0.26 ,D,Kerkez,LIV, 6.0 ,,,,, 3.32 , 2.41 , 2.43 , 3.31 , 3.30 , 2.62 , 2.17 , 2.79 , 22.35 
22, 0.25 ,D,Robinson,FUL, 5.0 ,,,,, -   , 1.21 , 1.40 , 4.02 , 3.74 , 2.79 , 2.96 , 2.74 , 18.85 
23, 0.32 ,D,Ruben,MCI, 5.5 ,,,,, 3.56 , 3.16 , 2.70 , 3.02 , 2.13 , 3.77 , 2.84 , 3.33 , 24.51 
24, 0.20 ,D,Burn,NEW, 5.0 ,,,,, 2.34 , 2.00 , 2.22 , 2.47 , 1.91 , 1.92 , 2.61 , 1.91 , 17.38 
25, 0.44 ,D,Andersen,FUL, 4.5 ,,,,, 3.19 , 3.50 , 2.72 , 3.92 , 3.74 , 2.88 , 3.10 , 2.91 , 25.96 
26, 0.38 ,D,Agbadou,WOL, 4.5 ,,,,, 2.58 , 2.93 , 3.74 , 2.58 , 3.55 , 2.67 , 3.13 , 3.60 , 24.78 
27, 0.40 ,D,Guehi,CPL, 4.5 ,,,,, 2.41 , 3.72 , 2.62 , 4.31 , 3.13 , 2.38 , 3.22 , 3.35 , 25.13 
28, 0.39 ,D,Richards,CPL, 4.5 ,,,,, 2.56 , 3.54 , 2.65 , 4.01 , 3.05 , 2.43 , 3.16 , 3.22 , 24.62 
29, 0.36 ,D,Konate,LIV, 5.5 ,,,,, 3.76 , 2.87 , 2.97 , 3.72 , 3.62 , 3.01 , 2.49 , 3.13 , 25.57 
30, 0.27 ,D,Lewis-Skelly,ARS, 5.5 ,,,,, 2.68 , 3.58 , 1.94 , 3.16 , 2.23 , 2.38 , 3.13 , 2.64 , 21.73 
31, 0.35 ,D,O'Brien,EVE, 5.0 ,,,,, 3.23 , 3.16 , 3.19 , 2.92 , 1.76 , 3.39 , 3.24 , 1.77 , 22.67 
32, 0.32 ,D,Toti,WOL, 4.5 ,,,,, 2.27 , 2.69 , 3.52 , 2.31 , 3.39 , 2.41 , 2.92 , 3.36 , 22.88 
33, 0.42 ,D,N.Williams,NOT, 5.0 ,,,,, 3.83 , 3.19 , 3.83 , 2.34 , 3.70 , 4.16 , 2.60 , 2.78 , 26.43 
34, 0.42 ,D,Konsa,AVL, 4.5 ,,,,, 3.04 , 2.93 , 3.34 , 3.13 , 3.59 , 3.40 , 4.09 , 2.47 , 25.99 
35, 0.29 ,D,Mykolenko,EVE, 5.0 ,,,,, 1.54 , 3.08 , 3.16 , 2.86 , 1.77 , 3.32 , 3.16 , 1.77 , 20.67 
