first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGI,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Joe,Rodon,2.0,West Ham,Away,2861.0,0.04404054526389374,0.0176162181055575,0.06165676336945124,1.4448444599790287,3.472911569381335,3.365955959454736,0.06291506466270536,0.0,0.18874519398811604,1.5728766165676338,0.15728766165676336,0.0,0.6291506466270534,7.266689968542468,2.516602586508214,1.1010136315973436,8.367703600139812,0.0,0.0,0.0,0.09437259699405802,0.0
James,Justin,3.8,West Ham,Away,1758.0,0.08754266211604096,0.05887372013651877,0.14641638225255973,1.4626279863481226,3.906655290102389,4.4027303754266205,0.10238907849829351,0.051194539249146756,0.3071672354948805,1.1262798634812285,0.4607508532423208,0.0,0.40955631399317405,6.040955631399317,3.122866894197952,2.662116040955631,8.703071672354948,0.0,0.0,0.0,0.20477815699658702,0.0
Jeremie,Frimpong,1.0,Brentford,Home,959.0,0.03941605839416058,0.09384775808133473,0.13326381647549532,1.0144942648592286,4.193117831074035,4.410844629822733,0.0,0.18769551616266947,0.46923879040667366,1.032325338894682,0.09384775808133473,0.0,0.0,1.5015641293013557,4.410844629822733,0.8446298227320126,2.346193952033368,0.0,0.0,0.0,0.09384775808133473,0.0
Milos,Kerkez,1.0,Brentford,Home,2233.0,0.05924764890282132,0.027810120913569197,0.08705776981639052,1.1881773399014781,3.8599641737572776,3.264666368114644,0.08060904612628751,0.040304523063143756,0.24182713837886252,1.491267353336319,0.16121809225257502,0.0,0.08060904612628751,3.5467980295566504,3.5064935064935066,1.652485445588894,5.199283475145545,0.0,0.0,0.0,0.16121809225257502,0.0
Andrew,Robertson,2.0,Brentford,Home,1032.0,0.0933139534883721,0.09680232558139536,0.19011627906976747,1.3386627906976745,4.220058139534884,4.098837209302325,0.0872093023255814,0.0,0.3488372093023256,1.3081395348837208,0.3488372093023256,0.0,0.0,2.9651162790697674,3.052325581395349,0.9593023255813954,3.9244186046511627,0.0,0.0,0.0,0.0,0.0
Virgil,van Dijk,5.2,Brentford,Home,3330.0,0.1,0.03432432432432433,0.13432432432432434,1.2451351351351352,4.3537837837837845,4.675675675675675,0.16216216216216217,0.02702702702702703,0.2702702702702703,1.4054054054054055,0.2702702702702703,0.0,0.8648648648648649,8.72972972972973,2.2972972972972974,0.6216216216216216,9.35135135135135,0.0,0.0,0.0,0.10810810810810811,0.0
Ibrahima,Konaté,1.8,Brentford,Home,3002.0,0.031479013990672884,0.028780812791472352,0.06025982678214524,1.185109926715523,4.013124583610926,3.8374417055296473,0.02998001332445037,0.0,0.29980013324450366,1.3191205862758162,0.23984010659560295,0.0,0.7794803464357095,7.105263157894737,3.327781479013991,1.558960692871419,8.664223850766156,0.0,0.0,0.0,0.17988007994670221,0.0
Conor,Bradley,0.0,Brentford,Home,918.0,0.01764705882352941,0.08137254901960786,0.09901960784313726,1.0401960784313724,4.412745098039215,4.11764705882353,0.0,0.19607843137254904,0.3921568627450981,1.1764705882352942,0.19607843137254904,0.0,0.19607843137254904,4.411764705882353,4.215686274509804,1.8627450980392157,6.274509803921569,0.0,0.0,0.0,0.3921568627450981,0.0
Joe,Gomez,0.2,Brentford,Home,507.0,0.026627218934911243,0.09940828402366864,0.12603550295857988,1.3153846153846154,4.647337278106508,4.260355029585798,0.0,0.35502958579881655,0.35502958579881655,1.7751479289940828,0.35502958579881655,0.0,0.0,3.727810650887574,3.195266272189349,1.4201183431952662,5.147928994082839,0.0,0.0,0.0,0.5325443786982248,0.0
Marc,Guéhi,5.6,Aston Villa,Home,3150.0,0.11571428571428573,0.06771428571428571,0.18342857142857144,1.2737142857142858,4.119142857142857,5.114285714285714,0.08571428571428572,0.14285714285714285,0.4,1.0,0.4,0.0,0.6285714285714286,6.628571428571429,3.9714285714285715,1.3142857142857143,7.942857142857143,0.0,0.0,0.0,0.17142857142857143,0.0
Rayan,Aït-Nouri,2.8,Aston Villa,Home,946.0,0.05042283298097252,0.18551797040169135,0.23594080338266388,1.1150105708245244,4.9309725158562365,5.3276955602537,0.0,0.19027484143763213,0.47568710359408034,0.7610993657505285,0.8562367864693446,0.0,0.19027484143763213,2.949260042283298,4.5665961945031714,3.13953488372093,6.088794926004228,0.0,0.0,0.0,0.19027484143763213,0.0
Joško,Gvardiol,0.2,Aston Villa,Home,1358.0,0.14911634756995584,0.0463917525773196,0.19550810014727543,1.0405007363770251,4.604712812960236,5.169366715758469,0.1325478645066274,0.1325478645066274,0.3976435935198822,0.8615611192930781,0.33136966126656847,0.0,0.3976435935198822,5.633284241531665,3.1811487481590577,1.1266568483063328,6.759941089837997,0.0,0.0,0.0,0.1325478645066274,0.0
Nathan,Aké,1.4,Aston Villa,Home,553.0,0.09602169981916817,0.07486437613019892,0.17088607594936708,1.1099457504520793,4.63508137432188,4.231464737793852,0.0,0.0,0.4882459312839059,0.9764918625678118,0.162748643761302,0.0,0.325497287522604,4.556962025316455,2.2784810126582276,1.1392405063291138,5.696202531645569,0.0,0.0,0.0,0.162748643761302,0.0
Abdukodir,Khusanov,4.4,Aston Villa,Home,1406.0,0.04160739687055477,0.07681365576102418,0.11842105263157895,1.322475106685633,3.9443812233285915,4.160739687055477,0.0,0.0,0.3840682788051209,0.8321479374110954,0.19203413940256045,0.0,0.6401137980085349,6.145092460881934,4.736842105263158,1.6642958748221908,7.809388335704125,0.0,0.0,0.0,0.12802275960170698,0.0
Matheus,Nunes,3.0,Aston Villa,Home,2861.0,0.01069556099265991,0.07015029709891646,0.08084585809157636,1.0975533030408946,3.592764767563789,4.844459979028312,0.03145753233135268,0.2516602586508214,0.3774903879762321,0.8808109052778749,0.5033205173016428,0.0,0.2516602586508214,4.341139461726669,5.221950367004544,1.7930793428871026,6.134218804613772,0.0,0.0,0.0,0.15728766165676336,0.0
Rúben,dos Santos Gato Alves Dias,0.0,Aston Villa,Home,2044.0,0.025097847358121327,0.02773972602739726,0.05283757338551859,1.0210861056751466,3.492123287671233,4.887475538160469,0.08806262230919765,0.0,0.5283757338551859,0.8365949119373777,0.1761252446183953,0.0,0.44031311154598823,6.604696673189824,3.1262230919765166,0.5724070450097847,7.177103718199608,0.0,0.0,0.0,0.13209393346379647,0.0
John,Stones,0.2,Aston Villa,Home,347.0,0.0,0.015561959654178673,0.015561959654178673,1.268299711815562,3.439193083573487,2.593659942363112,0.0,0.0,0.25936599423631124,1.8155619596541785,0.0,0.0,0.0,4.927953890489913,4.14985590778098,0.0,4.927953890489913,0.0,0.0,0.0,0.0,0.0
Rico,Lewis,0.0,Aston Villa,Home,268.0,0.036940298507462686,0.3492537313432836,0.38619402985074625,1.3130597014925374,5.258955223880598,4.365671641791045,0.0,0.33582089552238803,0.33582089552238803,1.3432835820895521,0.6716417910447761,0.0,0.0,4.701492537313433,2.6865671641791042,1.6791044776119401,6.380597014925373,0.0,0.0,0.0,0.33582089552238803,0.0
Nico,O'Reilly,2.8,Aston Villa,Home,2608.0,0.21050613496932516,0.09179447852760735,0.3023006134969325,1.1643404907975459,4.678757668711657,5.4524539877300615,0.17254601226993865,0.13803680981595093,0.4831288343558282,0.8282208588957055,0.3450920245398773,0.0,0.06901840490797546,3.588957055214724,3.588957055214724,2.2430981595092025,5.832055214723926,0.0,0.0,0.0,0.17254601226993865,0.0
Max,Alleyne,0.0,Aston Villa,Home,135.0,0.17333333333333334,0.04,0.21333333333333335,1.0266666666666666,5.4799999999999995,3.3333333333333335,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.3333333333333333,5.333333333333333,2.6666666666666665,2.0,7.333333333333333,0.0,0.0,0.0,0.0,0.0
Matthijs,de Ligt,0.0,Brighton,Away,1170.0,0.10615384615384614,0.06384615384615386,0.16999999999999998,1.440769230769231,4.123846153846154,3.3076923076923075,0.07692307692307693,0.0,0.07692307692307693,1.5384615384615385,0.38461538461538464,0.0,0.6153846153846154,6.769230769230769,3.076923076923077,1.4615384615384615,8.23076923076923,0.0,0.0,0.0,0.0,0.0
Lisandro,Martínez,2.2,Brighton,Away,1129.0,0.01195748449955713,0.04384410983170948,0.05580159433126661,1.1415411868910539,3.7650132860938887,3.4278122232063772,0.0,0.0,0.31886625332152346,1.195748449955713,0.2391496899911426,0.0,0.6377325066430469,6.536758193091231,5.0221434898139945,1.2754650132860939,7.812223206377325,0.07971656333038087,0.0,0.0,0.0,0.07971656333038087
Noussair,Mazraoui,3.0,Brighton,Away,865.0,0.015606936416184972,0.03433526011560695,0.04994219653179192,1.2339884393063585,4.616531791907515,4.473988439306359,0.0,0.0,0.4161849710982659,0.9364161849710984,0.6242774566473989,0.0,0.20809248554913296,5.514450867052023,3.8497109826589595,2.4971098265895955,8.011560693641618,0.0,0.0,0.0,0.10404624277456648,0.0
Diogo,Dalot Teixeira,1.5,Brighton,Away,2579.0,0.06665374176037224,0.08933695230709576,0.15599069406746802,1.2489724699495932,3.8170608763086467,3.8386971694455214,0.03489724699495929,0.20938348196975573,0.244280728964715,1.326095385808453,0.3140752229546336,0.0,0.20938348196975573,4.362155874369911,4.606436603334626,1.7448623497479643,6.107018224117875,0.0,0.0,0.0,0.17448623497479643,0.0
Patrick,Dorgu,0.8,Brighton,Away,1326.0,0.1262443438914027,0.10045248868778282,0.22669683257918555,1.2122171945701359,4.878733031674208,4.95475113122172,0.20361990950226244,0.20361990950226244,0.20361990950226244,1.2217194570135748,0.5429864253393666,0.0,0.13574660633484165,3.257918552036199,4.8190045248868785,3.054298642533937,6.312217194570136,0.0,0.0,0.0,0.2714932126696833,0.0
Harry,Maguire,5.2,Brighton,Away,1541.0,0.059571706683971444,0.023945489941596367,0.08351719662556781,1.2679428942245294,4.244192083062945,4.730694354315379,0.05840363400389357,0.11680726800778714,0.3504218040233614,1.1680726800778714,0.29201817001946784,0.0,0.9344581440622971,6.950032446463335,3.504218040233614,1.226476314081765,8.1765087605451,0.0,0.0,0.0,0.1752109020116807,0.05840363400389357
Luke,Shaw,4.8,Brighton,Away,3139.0,0.019783370500159287,0.0567696718700223,0.07655304237018158,1.2712965912711056,3.107996177126473,3.0678560050971644,0.02867155144950621,0.02867155144950621,0.2580439630455559,1.2902198152277795,0.08601465434851863,0.0,0.2867155144950621,4.157374960178401,2.9531697992991397,2.093023255813953,6.2503982159923535,0.0,0.0,0.0,0.2580439630455559,0.0
Leny,Yoro,0.5,Brighton,Away,1637.0,0.07367135003054366,0.032437385461209535,0.1061087354917532,1.3931582162492364,3.9941967012828345,2.6939523518631643,0.0,0.05497861942577886,0.10995723885155773,1.594379963347587,0.05497861942577886,0.0,0.3298717165546732,6.4324984728161265,3.9034819792302993,1.5394013439218082,7.971899816737935,0.0,0.0,0.0,0.05497861942577886,0.0
Ayden,Heaven,0.8,Brighton,Away,902.0,0.033924611973392464,0.017960088691796012,0.05188470066518848,1.1783813747228382,4.4241685144124165,3.7915742793791574,0.0,0.09977827050997783,0.19955654101995565,1.4966740576496673,0.29933481152993346,0.0,0.9977827050997783,6.685144124168515,3.592017738359202,2.1951219512195124,8.880266075388027,0.09977827050997783,0.0,0.0,0.09977827050997783,0.0
Lewis,Hall,1.0,Fulham,Away,2058.0,0.04329446064139942,0.11457725947521864,0.15787172011661807,1.4606413994169098,3.407580174927113,3.323615160349854,0.043731778425655975,0.08746355685131195,0.1749271137026239,1.4868804664723032,0.1749271137026239,0.0,0.43731778425655976,4.591836734693877,5.466472303206997,2.186588921282799,6.778425655976676,0.0,0.0,0.0,0.1749271137026239,0.0
Fabian,Schär,0.0,Fulham,Away,1087.0,0.08031278748850047,0.049678012879484826,0.1299908003679853,1.131830726770929,4.674701011959522,4.0570377184912605,0.0,0.0,0.3311867525298988,0.9935602575896965,0.0,0.0,0.9935602575896965,8.27966881324747,3.4774609015639375,1.1591536338546458,9.438822447102115,0.0,0.0,0.0,0.0827966881324747,0.0
