first_name,second_name,form,team_against,Home_Away,minutes,xG,xA,xGI,xGC,xPoints,total_points,goals_scored,assists,clean_sheets,goals_conceded,bonus,saves,defensive_points,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards
Rodrigo,Muniz Carvalho,1.8,Aston Villa,Away,207.0,0.291304347826087,0.008695652173913044,0.30000000000000004,1.1478260869565218,2.0608695652173914,2.608695652173913,0.0,0.4347826086956522,0.4347826086956522,0.8695652173913044,0.0,0.0,0.0,1.7391304347826089,2.608695652173913,1.3043478260869565,5.6521739130434785,0.4347826086956522,0.0,0.0,0.0,0.0
Joël,Piroe,0.2,Bournemouth,Home,77.0,0.3272727272727273,0.046753246753246755,0.3740259740259741,0.3272727272727273,3.7870129870129876,2.337662337662338,0.0,0.0,1.168831168831169,0.0,0.0,0.0,0.0,0.0,4.675324675324676,0.0,4.675324675324676,0.0,0.0,0.0,0.0,0.0
Lukas,Nmecha,1.2,Bournemouth,Home,69.0,0.13043478260869565,0.02608695652173913,0.15652173913043477,0.508695652173913,3.2086956521739127,2.608695652173913,0.0,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,6.521739130434782,5.217391304347826,0.0,11.739130434782608,0.0,0.0,0.0,0.0,0.0
Hugo,Ekitiké,4.8,Crystal Palace,Away,215.0,0.6111627906976744,0.03348837209302326,0.6446511627906977,1.0674418604651164,5.893953488372093,7.953488372093023,0.8372093023255814,0.4186046511627907,0.4186046511627907,0.8372093023255814,0.8372093023255814,0.0,0.0,2.511627906976744,2.0930232558139537,1.255813953488372,5.8604651162790695,0.0,0.0,0.0,0.0,0.0
Erling,Haaland,6.0,Burnley,Home,176.0,1.1607954545454546,0.1585227272727273,1.3193181818181818,1.2937500000000002,8.698295454545454,7.670454545454546,1.0227272727272727,0.0,0.5113636363636364,1.0227272727272727,1.5340909090909092,0.0,0.0,3.5795454545454546,2.556818181818182,0.0,6.136363636363637,0.0,0.0,0.0,0.0,0.0
Benjamin,Sesko,1.2,Brentford,Away,70.0,0.14142857142857143,0.08999999999999998,0.23142857142857143,0.3342857142857143,0.8357142857142857,2.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,1.2857142857142856,0.0,2.571428571428571,0.0,0.0,0.0,0.0,0.0
Nick,Woltemade,4.5,Arsenal,Home,64.0,0.3796875,0.0140625,0.39375,0.5765625,8.5921875,12.65625,1.40625,0.0,1.40625,0.0,4.21875,0.0,0.0,0.0,4.21875,4.21875,8.4375,0.0,0.0,0.0,0.0,0.0
Chris,Wood,1.8,Sunderland,Home,150.0,0.8159999999999998,0.006,0.8219999999999998,1.2539999999999998,7.481999999999999,9.0,1.2,0.0,0.6,0.6,1.7999999999999998,0.0,0.0,0.0,1.7999999999999998,0.0,1.7999999999999998,0.0,0.0,0.0,0.0,0.0
Eliezer,Mayenda Dossou,1.0,Nott'm Forest,Away,139.0,0.058273381294964025,0.0,0.058273381294964025,0.8352517985611511,4.1179856115107905,6.474820143884892,0.6474820143884892,0.0,1.2949640287769784,0.0,1.2949640287769784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richarlison,de Andrade,3.2,Wolves,Home,161.0,0.4360248447204969,0.011180124223602483,0.4472049689440994,1.386335403726708,5.690683229813664,8.385093167701863,1.1180124223602483,0.0,0.5590062111801242,0.5590062111801242,1.6770186335403725,0.0,0.0,3.913043478260869,1.1180124223602483,0.0,5.0310559006211175,0.0,0.0,0.0,0.0,0.0
Jarrod,Bowen,4.8,Everton,Away,270.0,0.15333333333333332,0.06,0.21333333333333332,2.0566666666666666,2.126666666666667,3.3333333333333335,0.3333333333333333,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,1.6666666666666667,2.0,0.6666666666666666,4.333333333333333,0.0,0.0,0.0,0.0,0.0
Niclas,Füllkrug,1.0,Everton,Away,76.0,0.0,0.07105263157894737,0.07105263157894737,2.628947368421053,0.2131578947368421,2.3684210526315788,0.0,0.0,0.0,4.7368421052631575,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,1.1842105263157894,0.0,0.0,0.0,0.0,0.0
Callum,Wilson,2.5,Everton,Away,125.0,0.0216,0.028800000000000003,0.0504,2.2824,0.1728,2.16,0.0,0.0,0.0,2.16,0.0,0.0,0.0,1.44,1.44,0.0,2.88,0.0,0.0,0.0,0.0,0.0
Jørgen,Strand Larsen,0.8,Spurs,Away,126.0,0.3,0.09285714285714286,0.39285714285714285,1.6785714285714284,2.192857142857143,2.142857142857143,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,2.142857142857143,1.4285714285714286,0.7142857142857143,4.285714285714286,0.0,0.0,0.0,0.0,0.0
Tolu,Arokodare,2.0,Spurs,Away,90.0,0.22,0.03,0.25,0.48,2.9699999999999998,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
